crime_rate,target
0.1415,25.3
0.15445,23.3
16.8118,7.2
0.05646,21.2
8.79212,11.7
1.27346,27.0
0.06047,29.6
0.11432,26.5
0.5405,43.5
0.09178,23.6
7.36711,11.0
0.07503,33.4
0.66351,36.0
0.08664,36.4
0.05497,19.0
0.80271,20.2
0.03359,34.9
0.57834,50.0
0.06617,19.3
9.51363,14.9
0.12744,26.6
3.83684,19.9
0.04297,24.8
0.23912,21.2
0.08265,23.9
0.04527,20.6
0.13914,23.1
0.04113,28.0
0.18836,20.0
0.40202,23.1
0.02875,25.0
11.5779,9.7
0.04462,23.9
0.05515,36.1
3.32105,13.4
4.66883,12.7
0.06588,39.8
88.9762,10.4
0.10659,20.6
0.54452,17.8
0.1712,19.5
0.08244,23.7
0.03502,28.5
0.33983,24.3
0.1676,23.8
4.42228,19.1
0.12204,28.4
0.09299,20.5
0.54011,33.8
0.98843,14.5
0.62976,20.4
0.17171,16.0
9.82349,13.3
0.02763,30.8
4.55587,27.5
0.1146,24.4
0.13587,24.4
0.52058,25.1
0.08187,43.8
3.47428,21.9
0.19073,26.2
7.02259,14.2
12.0482,20.8
0.01965,20.1
0.0187,23.1
23.6482,13.1
0.25915,16.2
0.03659,24.8
5.82115,20.2
0.25199,22.5
0.95577,14.8
0.05302,28.7
13.0751,20.1
0.19539,23.4
0.07875,32.0
2.3139,19.1
1.46336,50.0
0.12816,20.9
0.40771,21.7
0.03932,22.0
14.0507,17.2
0.04666,30.3
7.99248,12.3
0.16902,21.4
0.19657,20.5
0.22188,35.2
0.10328,19.6
0.06899,22.0
0.09378,21.7
4.75237,14.1
0.29916,21.1
19.6091,15.0
0.04741,11.9
6.80117,20.0
1.22358,41.3
0.06151,18.7
0.05602,50.0
8.26725,50.0
5.66637,18.4
18.811,17.9
0.14052,28.1
5.09017,16.1
0.06162,17.2
0.12932,28.6
0.0566,23.6
0.35114,20.4
1.19294,19.6
0.09849,18.8
0.08447,22.6
3.69311,17.7
0.06911,30.5
0.63796,18.2
2.37857,20.6
0.1403,24.4
0.15038,17.3
0.2498,13.3
0.10084,22.8
0.04337,20.5
3.67367,21.2
0.12329,18.8
0.17004,18.9
0.7258,18.2
1.05393,23.1
0.01301,32.7
0.00632,24.0
17.8667,10.2
0.13262,19.5
0.06127,33.1
6.71772,13.4
0.15086,15.2
0.04417,24.8
0.537,24.3
9.33889,9.5
0.08826,24.2
0.28392,18.5
0.01538,44.0
0.01501,50.0
0.17505,24.7
1.6566,21.5
13.6781,8.4
0.17331,21.8
1.51902,50.0
1.80028,23.8
0.05644,32.4
0.22969,24.4
0.20608,17.6
0.12579,29.8
14.4208,9.6
4.87141,16.7
2.37934,13.8
0.09604,32.0
6.44405,16.1
24.8017,8.3
0.02899,26.6
5.58107,14.3
51.1358,15.0
0.05479,28.4
0.00906,32.2
0.05023,17.1
0.06664,29.4
25.9406,10.4
4.22239,16.8
0.44178,31.5
14.4383,27.5
0.29819,46.7
0.14866,27.5
7.40389,17.2
0.04981,23.4
0.41238,31.6
8.05579,13.8
0.10959,22.0
1.41385,17.0
0.21409,24.8
1.34284,24.3
0.16211,25.2
0.12269,21.2
4.83567,20.6
0.22212,18.7
25.0461,5.6
0.37578,19.3
0.12802,19.8
2.44953,22.3
0.08387,20.3
15.0234,12.0
0.05059,23.9
0.21124,16.5
1.38799,13.2
0.0686,33.2
22.0511,10.5
10.8342,7.5
0.62356,27.5
0.77299,18.4
0.03871,23.2
18.4982,13.8
0.01311,35.4
5.82401,23.0
5.73116,25.0
18.0846,7.2
0.25387,14.4
73.5341,8.8
5.20177,22.7
1.15172,13.1
0.06417,18.9
0.1265,25.0
41.5292,8.5
2.63548,16.1
0.44791,29.0
0.17899,23.1
0.17142,19.3
0.1,33.1
0.05425,24.6
0.11425,23.0
5.44114,15.2
0.05372,27.1
0.85204,19.6
0.16439,24.5
0.3494,20.3
0.0315,34.9
0.35233,17.1
0.75026,15.6
0.08308,26.4
0.13642,22.6
0.97617,15.6
0.05561,29.0
0.13158,21.2
0.21719,22.4
8.20058,13.5
13.9134,11.7
9.72418,17.1
0.46296,31.7
0.07013,28.7
0.02055,24.7
3.77498,19.0
14.2362,7.2
11.1081,13.8
9.39063,12.8
0.06888,36.2
0.12083,38.7
0.14231,18.5
0.07978,29.1
0.13058,20.4
9.18702,11.3
1.20742,17.4
15.1772,8.7
0.0136,18.9
0.07022,23.2
0.24103,22.2
0.01439,29.1
0.03768,34.6
4.54192,25.0
3.56868,23.2
0.09103,37.9
45.7461,7.0
0.04301,18.2
0.21161,19.3
0.35809,26.7
0.34006,19.2
0.01709,30.1
0.03306,20.6
4.89822,50.0
0.14932,18.7
0.04294,20.6
0.02187,31.1
0.2909,14.0
2.33099,17.8
0.02177,42.3
1.12658,15.3
0.03041,18.5
14.3337,21.4
0.22489,15.0
0.09065,20.7
0.11504,21.4
0.17446,21.7
0.11329,22.0
0.01432,31.6
0.03537,22.0
14.3337,10.2
4.26131,22.6
0.09744,20.0
8.24809,17.8
1.25179,13.6
10.6718,11.8
0.03466,19.4
0.09512,21.4
0.01778,32.9
0.08707,20.8
0.82526,31.0
0.17783,17.5
2.73397,15.4
12.8023,10.8
0.02729,34.7
0.0536,25.0
0.52014,48.8
0.36894,42.8
6.65492,19.5
0.65665,30.1
0.05083,22.2
5.66998,50.0
0.18159,23.1
0.10008,32.5
1.49632,19.6
7.75223,14.9
0.09266,26.4
0.09068,37.0
0.07896,24.1
0.01501,24.5
0.12757,23.7
0.18337,7.0
0.07151,22.2
0.09252,23.3
4.0974,15.6
7.05042,13.4
0.7857,30.7
0.0459,22.3
0.32264,17.4
2.01019,50.0
0.03551,22.9
0.2896,19.7
3.53501,15.6
8.98296,17.8
15.8744,10.9
0.21038,35.1
0.38735,15.7
0.01381,50.0
0.76162,22.8
3.1636,19.9
0.1396,20.1
2.14918,19.4
0.06129,46.0
5.29305,23.2
0.38214,37.6
13.5222,23.1
0.84054,13.9
0.04011,33.3
0.01951,33.0
0.62739,19.9
0.14103,20.3
9.2323,50.0
0.26363,19.4
0.03427,19.5
0.49298,22.8
0.67191,16.6
0.10153,20.0
0.15936,24.7
0.03578,45.4
0.03237,33.4
7.83932,21.4
0.21977,19.4
67.9208,5.0
22.5971,7.4
0.11132,20.1
1.13081,12.7
0.07165,20.3
10.0623,14.1
0.17134,18.3
4.34879,19.9
0.0456,23.3
0.55007,36.5
0.43571,20.0
0.31827,17.8
20.0849,8.8
0.02731,21.6
0.26938,21.6
1.23247,15.2
0.24522,19.8
0.47547,21.0
0.14455,27.1
0.22438,16.8
1.62864,14.4
0.05188,22.5
0.07244,18.6
0.10612,20.1
4.03841,19.6
0.19802,25.0
0.13554,17.4
0.08873,19.7
38.3518,5.0
28.6558,16.3
2.44668,13.1
0.08221,29.6
8.71675,13.1
15.5757,19.1
9.59571,12.1
3.8497,21.7
0.04819,21.9
0.10469,33.2
0.06642,29.9
0.03705,35.4
6.96215,15.1
0.51183,31.5
0.15876,21.7
4.81213,16.4
0.88125,14.3
2.77974,11.8
9.32909,14.1
0.03961,21.1
0.32982,18.4
0.0351,48.5
8.64476,13.8
0.03548,20.9
0.09164,22.8
5.87205,12.5
0.33045,24.0
0.08014,21.0
